,id,lat,lon,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type
14468,YRaa30EgPNbhhZtm3Rn32g==,-34.565144,-58.464187,Belgrano,3.0,1.0,53.0,51.0,159600.0,Departamento
14469,dcbw+wQxNHfPJMYwToRSwA==,-34.5626867,-58.4431909,Belgrano,3.0,1.0,86.0,86.0,200000.0,Departamento
14470,Qegg/Px+q23jFuKCZokczg==,-34.5544025,-58.4577312,Belgrano,4.0,2.0,100.0,100.0,370000.0,Departamento
14471,RXHkfXD5jt+7RkBAM6gGog==,-34.5664783,-58.4341001,Belgrano,3.0,3.0,151.0,140.0,728000.0,Departamento
14472,bejdTNq0KPRvJf43aGHGAw==,-34.5589111,-58.4510895,Belgrano,3.0,1.0,60.0,60.0,128000.0,Departamento
14473,r+E7EsuCruS5Yv+KL7WcGg==,-34.5576535,-58.4471087,Belgrano,3.0,3.0,127.0,127.0,560000.0,Departamento
14474,Ls90ZarKfxBZjpZsoWvI6A==,-34.5608504,-58.466155,Belgrano,3.0,1.0,61.0,55.0,155000.0,Departamento
14475,ZDF3ywad+Ns2CNrD83G+yg==,-34.5602695,-58.4433093,Belgrano,3.0,1.0,93.0,70.0,261000.0,Departamento
14476,xmsbOqgizhjdVXGV71/9gA==,-34.5876954,-58.3855973,Recoleta,3.0,2.0,100.0,100.0,390000.0,Departamento
14477,fWWhYzqHaHhT9TZmgqYqsw==,-34.5923257,-58.3893362,Recoleta,3.0,1.0,120.0,120.0,340000.0,Departamento
14478,X4XlBrec9WpQthuGr4BcQw==,-34.5914789,-58.3860063,Recoleta,3.0,1.0,63.0,63.0,225000.0,Departamento
14479,C71V05B4gwEa+aqT43JdNw==,-34.5944625,-58.3982061,Recoleta,3.0,1.0,87.0,87.0,290000.0,Departamento
14480,jTY2H2/evAAua3dprMDFYw==,-34.5878559,-58.3862863,Recoleta,3.0,1.0,76.0,76.0,275000.0,Departamento
14481,O5x/lRbcXZVUWIXKoAt0iQ==,-34.5443625,-58.4793791,Saavedra,3.0,2.0,130.0,120.0,295000.0,Departamento
14482,7/2wL2r6esjW7sfdszaf7Q==,-34.5640857,-58.4650071,Saavedra,3.0,3.0,196.0,141.0,379000.0,Departamento
14483,Qdw6gVRBGHP2Ws6235lDpQ==,-34.6126069,-58.4433692,Caballito,3.0,2.0,77.0,72.0,245000.0,Departamento
14484,BJ/uHPMUURJXyqBMV9Gabg==,-34.60793,-58.455167,Caballito,3.0,1.0,63.0,63.0,175000.0,Departamento
14485,yw8LipAZ1sVpA8MsjUE5TQ==,-34.6243034,-58.4322872,Caballito,3.0,2.0,70.0,63.0,250000.0,Departamento
14486,NZtCfibXcn9f8FeThWkXaw==,-34.6233371,-58.4273849,Caballito,3.0,1.0,62.0,62.0,105000.0,Departamento
14487,+/JWunB8M+n67U7NfzKTRg==,-34.5825039,-58.4562043,Chacarita,3.0,2.0,63.0,56.0,110000.0,Departamento
14488,UOalx8bHTEYxCJ7QjBpW+g==,-34.6600786,-58.5031222,Mataderos,3.0,1.0,48.0,48.0,45000.0,Departamento
14489,QsHNkLh6D6QlF2fozGwHnw==,-34.6197168,-58.3759793,San Telmo,3.0,1.0,84.0,80.0,183000.0,Departamento
14490,dZWTOkSnbQmJvkw33TjJqQ==,-34.5766522,-58.4537673,Colegiales,3.0,1.0,110.0,100.0,395000.0,Departamento
14491,cPu7gyku1xoGSfD2/EjznA==,-34.5762403,-58.4544494,Colegiales,3.0,2.0,87.0,87.0,380000.0,Departamento
14492,VX1oK8BW90Kg//QqNbFclA==,-34.5930469,-58.4019391,Barrio Norte,3.0,1.0,80.0,75.0,180000.0,Departamento
14493,iRTSLgi8GHMWuD4fG+6X8A==,-34.6013157,-58.3796432,San Nicolás,4.0,1.0,120.0,120.0,125000.0,Departamento
14494,+NMsV6iMK1ji21bZPBU2eg==,-34.6018198,-58.4376909,Villa Crespo,3.0,1.0,64.0,56.0,129000.0,Departamento
14495,P/jxBdqb1ZnMGRDLwvf3Vg==,-34.6153054,-58.3620141,Puerto Madero,3.0,1.0,94.0,85.0,450000.0,Departamento
14496,Ieh81k3bBU3Hbb+66FcBUQ==,-34.6200926,-58.3610901,Puerto Madero,3.0,2.0,126.0,114.0,750000.0,Departamento
14497,l9AvDIaXwIJUM5UCIdpDqw==,-34.6095506,-58.3634971,Puerto Madero,3.0,2.0,110.0,110.0,600000.0,Departamento
